"","Date_sold","Sell_price_EU","Online_since","Start_price_EU","Likes","Designer","Model","Condition","Material","Color","Location","P_Width_cm","P_Height_cm","P_Depth_cm","SW_Dustbag","SW_Original_box","SW_Original_papers","SW_Card_or_certificate","Seller_name","ST_Expert_seller","ST_Professional_seller","ST_Trusted_seller","ST_Fashion_activist","ST_Concierge_service","Reference","Link"
"7437",2020-08-26,640,2020-06-24,715,44,"Louis Vuitton","Speedy Bandouli<U+00E8>re","Good condition","Cloth","Brown","France",35,23,18,0,1,0,0,"Cindy",0,0,1,0,0,"10831583","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-bandouliere-louis-vuitton-handbag-10831583.shtml"
"7438",2020-10-17,640,2020-06-03,950,8,"Louis Vuitton","Lumineuse","Good condition","Leather","Burgundy","France",45,28,18,0,0,0,0,"Emma",1,0,0,1,0,"10582090","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-leather-lumineuse-louis-vuitton-handbag-10582090.shtml"
"7439",2020-06-21,640,2020-06-01,650,82,"Louis Vuitton","Eva","Very good condition","Cloth","Brown","Spain",26,12,4,0,0,0,0,"Gisele",1,0,0,0,0,"10546507","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-eva-louis-vuitton-handbag-10546507.shtml"
"7440",2020-09-27,640,2020-05-30,1550,9,"Louis Vuitton","Summit","Very good condition","Patent leather","Red","France",32,26,14,0,0,0,0,"nataly",1,0,0,0,0,"10534838","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-summit-louis-vuitton-handbag-10534838.shtml"
"7441",2020-06-03,640,2020-05-22,700,7,"Louis Vuitton","Manhattan","Very good condition","Cloth","Brown","Spain",12,25,38,0,0,0,0,"yongtjeng",0,0,0,0,0,"10437475","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-manhattan-louis-vuitton-handbag-10437475.shtml"
"7442",2020-09-21,640,2020-05-18,690,12,"Louis Vuitton","Mahina","Good condition","Leather","Black","Luxembourg",34.5,28,16,0,0,0,0,"juliana",1,0,0,1,0,"10373824","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-mahina-louis-vuitton-handbag-10373824.shtml"
"7443",2020-05-15,640,2020-05-15,640,28,"Louis Vuitton","Speedy Bandouli<U+00E8>re","Good condition","Leather","Navy","France",25,20,15,1,0,0,0,"alexia",0,0,0,0,0,"10356539","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/navy-leather-speedy-bandouliere-louis-vuitton-handbag-10356539.shtml"
"7444",2020-05-20,640,2020-04-20,699,71,"Louis Vuitton","Neverfull","Good condition","Cloth","Brown","Spain",28.5,22,12.5,1,0,0,0,"mar<U+00ED>a",1,0,0,1,0,"10035549","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10035549.shtml"
"7445",2020-09-17,640,2019-03-30,995,25,"Louis Vuitton","Br<U+00E9>a","Good condition","Leather","Black","France",37,29,14,0,0,0,0,"julie",0,0,1,1,0,"7237516","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-brea-louis-vuitton-handbag-7237516.shtml"
"7446",2020-05-04,640,2017-04-20,850,26,"Louis Vuitton","Unknown Model","Very good condition","Leather","Black","Belgium",24.5,22,12,0,0,0,0,"Sweetpotato",0,0,0,1,0,"3900723","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-3900723.shtml"
"7447",2020-09-06,647.2,2020-08-07,728.08,50,"Louis Vuitton","Neverfull","Good condition","Cloth","Brown","United Kingdom",45,28,16,0,0,0,0,"marianne",0,0,0,1,1,"11231778","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-11231778.shtml"
"7448",2020-09-03,640.45,2020-09-02,690,11,"Louis Vuitton","Speedy","Never worn","Cloth","Brown","France",25,19,15,0,0,0,0,"ilana",0,0,0,0,0,"11617100","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11617100.shtml"
"7449",2020-05-28,641.33,2019-07-03,750,12,"Louis Vuitton","Unknown Model","Good condition","Cloth","White","Cyprus",36,23,16,0,0,0,0,"MMLI",1,1,0,1,0,"7812252","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-cloth-louis-vuitton-handbag-7812252.shtml"
