"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link","Current_price"
NA,9,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","28 cm","16.5 cm","8 cm","France","ks","","04/10/2020 ","12086007","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12086007.shtml",99
NA,11,"Louis Vuitton ","Boulogne ","99","Fair condition","Cloth ","Brown ",NA,NA,NA,"France","ks","","20/08/2020 ","11472419","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-11472419.shtml",99
NA,2,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","41 cm","29 cm","5 cm","France","ks","","29/07/2020 ","11241385","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241385.shtml",99
NA,1,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","41 cm","29 cm","5 cm","France","ks","","28/07/2020 ","11241092","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241092.shtml",99
NA,9,"Louis Vuitton ",NA,"99","Good condition","Cloth ","Green ",NA,NA,NA,"France","ks","Dustbag","24/07/2020 ","11199481","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-cloth-louis-vuitton-handbag-11199481.shtml",99
NA,4,"Louis Vuitton ",NA,"99","Good condition","Leather ","Brown ",NA,NA,NA,"France","ks","Dustbag ,Original box","01/07/2020 ","10932095","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-10932095.shtml",99
NA,1,"Louis Vuitton ",NA,"99","Good condition","Cotton ","Beige ",NA,NA,NA,"France","the brand collector","","18/06/2020 ","10778398","Professional seller",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-10778398.shtml",99
NA,22,"Louis Vuitton ","Papillon ","100","Fair condition","Cloth ","Brown ","38.1 cm","17.8 cm","15.2 cm","Portugal","rute","","30/09/2020 ","12002986","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-12002986.shtml",100
NA,12,"Louis Vuitton ","Houston ","100","Fair condition","Patent leather ","Red ","23 cm","18 cm","11 cm","Netherlands","Basak","","18/08/2020 ","11445719","",NA,128,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-houston-louis-vuitton-handbag-11445719.shtml",100
NA,7,"Louis Vuitton ",NA,"100","Fair condition","Leather ","Black ","40 cm","40 cm","20 cm","Romania","nicoleta","","25/06/2020 ","10856644","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-10856644.shtml",100
