"Date_sold","Price_sold","Last_known_price","Initial_price","Likes","Designer","Model","Condition","Material","Color","Location","Seller","Sold_with","Online_since","Reference","Link","Seller_title","Width","Height","Depth"
"September 1, 2020","59",59,59,6,"Louis Vuitton ",NA,"Fair condition","Plastic ","Blue ","France","ks","","01/09/2020 ","11608457","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-plastic-louis-vuitton-handbag-11608457.shtml","",NA,NA,NA
"May 7, 2020","60",60,60,20,"Louis Vuitton ","Vivian ","Fair condition","Cloth ","Brown ","Italy","Nina","","07/05/2020 ","10252734","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-vivian-louis-vuitton-handbag-10252734.shtml","","21 cm","21 cm","9 cm"
"September 21, 2020","65",65,65,12,"Louis Vuitton ","Pleaty ","Very good condition","Denim - Jeans ","Blue ","Belgium","Cami","","21/09/2020 ","11874147","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-pleaty-louis-vuitton-handbag-11874147.shtml","","26 cm","15 cm",NA
"September 16, 2020","65,60",66.09,66.09,7,"Louis Vuitton ","Looping ","Fair condition","Cloth ","Brown ","Switzerland","eliane","","16/09/2020 ","11825972","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11825972.shtml","","29.3 cm","33 cm","11 cm"
"October 19, 2020","69",69,69,3,"Louis Vuitton ",NA,"Fair condition","Patent leather ","Beige ","France","ks","","18/10/2020 ","12343390","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-12343390.shtml","","10.5 cm","17 cm",NA
"September 16, 2020","70",70,70,8,"Louis Vuitton ","Salsa ","Very good condition","Cloth ","Brown ","Portugal","maria","","16/09/2020 ","11774202","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-11774202.shtml","","32 cm","24 cm","3,5 cm"
"September 7, 2020","70",70,70,7,"Louis Vuitton ","Looping ","Good condition","Cloth ","Brown ","France","caroline","","07/09/2020 ","11672379","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11672379.shtml","","35 cm","30 cm","4 cm"
"September 20, 2020","80,65",80.65,120,34,"Louis Vuitton ","Cartouchi<U+00E8>re ","Fair condition","Cloth ","Camel ","France","tom","","18/09/2020 ","11850589","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-cloth-cartouchiere-louis-vuitton-handbag-11850589.shtml","","18 cm","21 cm","5 cm"
"November 2, 2020","81,62",81.91,81.91,9,"Louis Vuitton ","Trotteur ","Fair condition","Cloth ","Brown ","Hong Kong","Amie","","02/11/2020 ","12575415","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trotteur-louis-vuitton-handbag-12575415.shtml","","11 cm","8 cm","8 cm"
"July 7, 2020","87,13",84.21,114.48,16,"Louis Vuitton ","Houston ","Fair condition","Patent leather ","Beige ","Japan","Brand street tokyo","","02/07/2020 ","10938888","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-10938888.shtml","Professional seller",NA,NA,NA
