"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"April 29, 2020",38,"Bvlgari","Serpenti","540 €","Good condition  More infos","Leather","Burgundy","25 cm","20 cm","5 cm","Italy","Angelo","Dustbag","23/04/2020","10078103"
"April 27, 2020",17,"Bvlgari","Serpenti","700 €","Very good condition  More infos","Leather","Blue","20 cm","15 cm","3,5 cm","France","Marine","Dustbag","02/04/2020","9855584"
"April 20, 2020",33,"Bvlgari","Serpenti","950 €","Never worn, with tag  More infos","Exotic leathers","Green","25 cm","20 cm",NA,"Spain","María","","05/04/2020","9889292"
"July 8, 2020",80,"Bvlgari","Serpenti","1472,38 €","Never worn  More infos","Leather","Green","20.1 cm","13 cm","10.2 cm","United Kingdom","n","Dustbag","11/02/2020","9419649"
"March 20, 2020",44,"Bvlgari","Serpenti","956,82 €","Very good condition  More infos","Patent leather","Silver",NA,NA,NA,"United Kingdom","Becky","Original box","13/03/2020","9702316"
"March 17, 2020",50,"Bvlgari","Serpenti","410 €","Never worn  More infos","Leather","Red",NA,NA,NA,"Ireland","Mateusz","","06/03/2020","9637281"
"May 30, 2020",188,"Bvlgari","Serpenti","1479,11 €","Never worn  More infos","Leather","Pink","18 cm","25 cm",NA,"United Kingdom","jennie","Dustbag","25/02/2020","9536317"
"July 13, 2020",3,"Bvlgari",NA,"285 €","Very good condition  More infos","Leather","Grey","40 cm","27 cm","10 cm","Italy","simona","","17/06/2020","10748832"
"March 27, 2020",32,"Bvlgari","Serpenti","1346,50 €","Never worn  More infos","Leather","Metallic","20 cm","15 cm","3.5 cm","United Kingdom","amina","","21/02/2020","9502113"
"April 3, 2020",15,"Bvlgari","Serpenti","851,98 €","Never worn  More infos","Exotic leathers","Beige","27 cm","20 cm","6 cm","France","nicolas","","31/03/2020","9839389"
"February 7, 2020",4,"Bvlgari","Serpenti","666,25 €","Very good condition  More infos","Leather","Orange","20.1 cm","14 cm","4.3 cm","United Kingdom","pearl","Original box ,Original papers","07/02/2020","9387869"
"July 2, 2020",5,"Bvlgari",NA,"175 €","Good condition  More infos","Leather","Black","34 cm","21 cm","14 cm","France","Paola","","20/06/2020","10801325"
"May 18, 2020",2,"Bvlgari",NA,"175 €","Never worn  More infos","Cloth","Beige","35 cm","21,5 cm","11 cm","France","Geraldine","Dustbag","05/05/2020","10224537"
"February 13, 2020",0,"Bvlgari","Serpenti","1203,62 €","Never worn  More infos","Leather","Blue","13 cm","22 cm","5 cm","Switzerland","Jing","Dustbag","13/02/2020","9439400"
"April 28, 2020",25,"Bvlgari","Serpenti","980 €","Very good condition  More infos","Leather","Burgundy","28 cm","19 cm","7,5 cm","Italy","hindia","Dustbag","06/02/2020","9372135"
"March 18, 2020",54,"Bvlgari","Serpenti","349,86 €","Good condition  More infos","Leather","Green","19 cm","16 cm","5 cm","United Kingdom","Lydia","","29/02/2020","9585665"
"February 20, 2020",17,"Bvlgari","Serpenti","1200 €","Very good condition  More infos","Leather","Brown","28 cm","19 cm","8 cm","Spain","i.","","04/02/2020","9334592"
"June 19, 2020",3,"Bvlgari","Bulgari","990 €","Never worn  More infos","Leather","Pink",NA,NA,NA,"France","houssem","","05/06/2020","10596487"
"May 22, 2020",43,"Bvlgari","Serpenti","1334,18 €","Very good condition  More infos","Exotic leathers","Purple","27 cm","18 cm","6 cm","Italy","AC","","23/03/2020","9780787"
"March 27, 2020",46,"Bvlgari","Serpenti","680 €","Never worn  More infos","Leather","Gold","22 cm","12 cm","5 cm","Italy","antoaneta","","12/02/2020","9430154"
"January 23, 2020",30,"Bvlgari","Serpenti","661,13 €","Very good condition  More infos","Leather","Metallic",NA,NA,NA,"Spain","nour","Original box","14/01/2020","9179454"
"June 15, 2020",165,"Bvlgari","Serpenti","932,53 €","Good condition  More infos","Leather","Green","30 cm","23 cm","10 cm","Turkey","luxuryshop","","17/02/2020","9471716"
"January 19, 2020",29,"Bvlgari","Serpenti","1199,59 €","Very good condition  More infos","Leather","Green","18.5 cm","13.5 cm","6.5 cm","Hong Kong","choi","","26/12/2019","9040077"
"February 1, 2020",10,"Bvlgari","Serpenti","775,60 €","Very good condition  More infos","Leather","Silver","13 cm","22 cm","5 cm","United Kingdom","lara","","30/01/2020","9318283"
"May 15, 2020",86,"Bvlgari","Serpenti","1350 €","Never worn  More infos","Exotic leathers","Anthracite","20 cm","15 cm","4 cm","Italy","Irene","Dustbag ,Original box ,Card or certificate","25/02/2020","9538644"
"May 27, 2020",133,"Bvlgari","Serpenti","700,46 €","Very good condition  More infos","Leather","Red","25.4 cm","13.3 cm","4.4 cm","United States","pan","","04/02/2020","9357536"
"January 13, 2020",66,"Bvlgari","Serpenti","750 €","Very good condition  More infos","Leather","White","19 cm","15 cm","4 cm","Italy","Irene","Dustbag ,Card or certificate","09/01/2020","9136233"
"January 24, 2020",8,"Bvlgari","Serpenti","1150 €","Very good condition  More infos","Leather","Silver",NA,NA,NA,"Spain","patrick","","23/01/2020","9230387"
"January 25, 2020",17,"Bvlgari","Serpenti","920 €","Very good condition  More infos","Leather","Black","29 cm","23.5 cm","15 cm","Italy","Irene","Dustbag ,Card or certificate","14/01/2020","9174160"
"February 3, 2020",12,"Bvlgari","Serpenti","825 €","Very good condition  More infos","Leather","Red","19 cm","16 cm","10 cm","France","julien","","27/01/2020","9265701"
"January 4, 2020",34,"Bvlgari","Serpenti","1030,86 €","Very good condition  More infos","Leather","Beige","27.5 cm","20 cm","7.5 cm","Italy","Irene","Dustbag ,Card or certificate","01/01/2020","9075486"
"January 18, 2020",39,"Bvlgari","Serpenti","903,30 €","Very good condition  More infos","Leather","Pink","20.1 cm","14 cm","4.3 cm","United Kingdom","pearl","","01/01/2020","9077729"
"March 12, 2020",128,"Bvlgari","Serpenti","1028,62 €","Very good condition  More infos","Leather","White","17 cm","11 cm","5 cm","United Kingdom","Alex","Card or certificate","23/12/2019","9016801"
"April 16, 2020",83,"Bvlgari","Serpenti","728,80 €","Good condition  More infos","Patent leather","Metallic","20 cm","15 cm","4.5 cm","Australia","A","","08/03/2020","9656959"
"February 18, 2020",20,"Bvlgari","Serpenti","704,26 €","Very good condition  More infos","Leather","Red","20 cm","15 cm","5 cm","Germany","dana","Dustbag ,Card or certificate","06/01/2020","9107152"
"January 14, 2020",7,"Bvlgari","Serpenti","550 €","Very good condition  More infos","Leather","Red","19.5 cm","11.5 cm","4 cm","Italy","Irene","Dustbag ,Card or certificate","14/01/2020","9174216"
"February 5, 2020",7,"Bvlgari","Serpenti","621,91 €","Good condition  More infos","Leather","Metallic",NA,NA,NA,"Spain","nour","Original box","05/02/2020","9368030"
"February 21, 2020",16,"Bvlgari","Serpenti","1577,11 €","Never worn, with tag  More infos","Exotic leathers","Multicolour","20.1 cm","15 cm","5.3 cm","United Kingdom","nathalie","","06/02/2020","9365423"
"February 7, 2020",64,"Bvlgari","Serpenti","1100 €","Very good condition  More infos","Leather","Yellow","19 cm","16 cm","8,5 cm","Italy","paola","","06/12/2019","8898985"
"May 11, 2020",53,"Bvlgari","Serpenti","1230 €","Very good condition  More infos","Exotic leathers","Pink","17 cm","18 cm","11 cm","United Kingdom","phoebe","","14/01/2020","8869208"
"June 3, 2020",60,"Bvlgari","Serpenti","650 €","Very good condition  More infos","Exotic leathers","Black","28 cm","20 cm","7 cm","France","anne-sophie","","18/02/2020","9475080"
"November 20, 2019",13,"Bvlgari","Serpenti","670,28 €","Very good condition  More infos","Leather","Silver","15 cm","16 cm","10 cm","United Kingdom","s","Dustbag ,Original box ,Card or certificate","18/11/2019","8642943"
